date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:45	59840/59840	---MCZ	200	added ('OK')	text/html	etag:W/%2280853540be69483806fb8d83a85573c1%22	https://demo.hasthemes.com/sheltek-preview/sheltek/agent.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/agent.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:46	42012/42012	---MCZ	200	added ('OK')	text/html	etag:W/%229711a42052a047c8a09a5ce57aef9eb6%22	https://demo.hasthemes.com/sheltek-preview/sheltek/agent-details.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/agent-details.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:46	65321/65321	---MCZ	200	added ('OK')	text/html	etag:W/%22ff13fcdbd214b5abdb9239ee21b38b0f%22	https://demo.hasthemes.com/sheltek-preview/sheltek/about.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/about.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:46	49519/49519	---MCZ	200	added ('OK')	text/html	etag:W/%221b7fe314b35b9aabffe0b4c847a54624%22	https://demo.hasthemes.com/sheltek-preview/sheltek/features.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/features.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:46	9075/9075	---MCZ	200	added ('OK')	text/html	etag:W/%22a12cd3a852482c3a74ecb39129837a3a%22	https://demo.hasthemes.com/sheltek-preview/sheltek/coming-soon.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/coming-soon.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:46	39467/39467	---MCZ	200	added ('OK')	text/html	etag:W/%225198c68af9e05f6b8942c04a86a15662%22	https://demo.hasthemes.com/sheltek-preview/sheltek/login.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/login.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:47	25233/25233	---MCZ	200	added ('OK')	text/html	etag:W/%22d81b12876e2af0bf6ba2e723dfcd43d0%22	https://demo.hasthemes.com/sheltek-preview/sheltek/404.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/404.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:47	37642/37642	---MCZ	200	added ('OK')	text/html	etag:W/%22ab95b19aab6260b7a671d942785919d6%22	https://demo.hasthemes.com/sheltek-preview/sheltek/contact.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/contact.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:47	47544/47544	---MCZ	200	added ('OK')	text/html	etag:W/%22b19584dedecd4f06e13338eb9bbe70d1%22	https://demo.hasthemes.com/sheltek-preview/sheltek/blog.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/blog.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:47	53195/53195	---MCZ	200	added ('OK')	text/html	etag:W/%22a533c0148c3afa75abf2226f5cfb2f48%22	https://demo.hasthemes.com/sheltek-preview/sheltek/blog-left-sidebar.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/blog-left-sidebar.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
